Year,StartDate,EndDate,Dam,ChinookAdult
2016,1/1/2016,12/31/2016,BON,697981
2015,1/1/2015,12/31/2015,BON,1337101
2014,1/1/2014,12/31/2014,BON,1152643
2013,1/1/2013,12/31/2013,BON,1129664
2012,1/1/2012,12/31/2012,BON,589937
2011,1/1/2011,12/31/2011,BON,677171
2010,1/1/2010,12/31/2010,BON,809799
2009,1/1/2009,12/31/2009,BON,480284
2008,1/1/2008,12/31/2008,BON,518942
2007,1/1/2007,12/31/2007,BON,275954
2006,1/1/2006,12/31/2006,BON,493708
2005,1/1/2005,12/31/2005,BON,570413
2004,1/1/2004,12/31/2004,BON,846026
2003,1/1/2003,12/31/2003,BON,921314
2002,1/1/2002,12/31/2002,BON,871763
2001,3/15/2001,11/15/2001,BON,867728
2000,3/15/2000,11/15/2000,BON,401711
1999,3/15/1999,11/15/1999,BON,306981
1998,3/15/1998,11/15/1998,BON,248860
1997,3/15/1997,11/15/1997,BON,360673
1996,3/15/1996,11/15/1996,BON,272884
1995,3/15/1995,11/15/1995,BON,189419
1994,3/15/1994,11/15/1994,BON,208197
1993,3/15/1993,11/15/1993,BON,259337
1992,3/15/1992,11/15/1992,BON,219688
1991,3/15/1991,11/15/1991,BON,226411
1990,3/15/1990,11/15/1990,BON,296525
1989,3/1/1989,11/30/1989,BON,373205
1988,3/1/1988,11/30/1988,BON,411896
1987,3/1/1987,11/30/1987,BON,468610
1986,3/4/1986,11/30/1986,BON,370729
1985,3/15/1985,11/30/1985,BON,296429
1984,3/15/1984,11/15/1984,BON,216465
1983,3/15/1983,11/15/1983,BON,185665
1982,3/15/1982,11/15/1982,BON,247911
1981,3/15/1981,11/15/1981,BON,232299
1980,3/15/1980,11/15/1980,BON,207770
1979,3/15/1979,11/15/1979,BON,276306
1978,3/15/1978,11/15/1978,BON,394600
1977,3/15/1977,11/15/1977,BON,366657
1976,3/15/1976,11/15/1976,BON,507773
1975,3/15/1975,11/15/1975,BON,425566
1974,3/15/1974,11/15/1974,BON,366759
1973,3/15/1973,11/15/1973,BON,398635
1972,3/15/1972,11/15/1972,BON,394456
1971,3/1/1971,11/13/1971,BON,405702
1970,3/1/1970,11/21/1970,BON,384780
1969,3/2/1969,11/22/1969,BON,507588
1968,3/4/1968,11/23/1968,BON,341128
1967,3/1/1967,11/25/1967,BON,366153
1966,3/11/1966,11/26/1966,BON,340111
1965,3/1/1965,11/30/1965,BON,317956
1964,3/1/1964,11/28/1964,BON,344422
1963,3/1/1963,11/30/1963,BON,278560
1962,3/1/1962,11/28/1962,BON,286625
1961,3/1/1961,11/30/1961,BON,281980
1960,3/1/1960,11/30/1960,BON,256049
1959,3/1/1959,11/28/1959,BON,345028
1958,3/2/1958,11/29/1958,BON,416419
1957,3/1/1957,11/30/1957,BON,403286
1956,3/1/1956,12/1/1956,BON,300917
1955,2/28/1955,11/29/1955,BON,359853
1954,2/28/1954,11/27/1954,BON,320947
1953,3/1/1953,11/28/1953,BON,332479
1952,3/1/1952,11/29/1952,BON,420879
1951,3/1/1951,11/29/1951,BON,331788
1950,1/1/1950,11/29/1950,BON,357375
1949,1/1/1949,12/31/1949,BON,277697
1948,1/1/1948,12/31/1948,BON,420555
1947,1/1/1947,12/31/1947,BON,480276
1946,1/1/1946,12/31/1946,BON,446152
1945,1/1/1945,12/31/1945,BON,297488
1944,1/3/1944,12/30/1944,BON,240763
1943,1/1/1943,12/13/1943,BON,313120
1942,1/21/1942,12/31/1942,BON,401998
1941,1/2/1941,12/31/1941,BON,461443
1940,1/4/1940,12/31/1940,BON,391573
1939,1/2/1939,12/30/1939,BON,286156
1938,5/7/1938,12/31/1938,BON,271799
